t_center,regime,regime_name,offline_static_f1,offline_periodic_f1,online_adaptive_f1,config
33265,3,R3 combined load,0.2271062271062271,0.8928571428571429,0.7636363636363637,C1
33515,3,R3 combined load,0.49079754601226994,0.863013698630137,0.8266666666666667,C1
33765,3,R3 combined load,0.1791044776119403,0.8235294117647058,0.7555555555555555,C1
34015,3,R3 combined load,0.2916666666666667,0.8717948717948718,0.6944444444444444,C1
34265,3,R3 combined load,0.5389221556886228,0.9497206703910615,0.9325842696629213,C1
34475,3,R3 combined load,0.3582089552238806,0.9444444444444444,0.7878787878787878,C1
8765,1,R1 latency regression,0.5106382978723404,0.5106382978723404,0.8201438848920863,C2
9015,1,R1 latency regression,0.37209302325581395,0.37209302325581395,0.7954545454545454,C2
9265,1,R1 latency regression,0.28112449799196787,0.5555555555555556,0.7714285714285715,C2
9515,1,R1 latency regression,0.23770491803278687,0.46017699115044247,0.6938775510204082,C2
9765,1,R1 latency regression,0.3424124513618677,0.8888888888888888,0.8863636363636364,C2
10015,1,R1 latency regression,0.4229390681003584,0.9122807017543859,0.8547008547008547,C2
10265,1,R1 latency regression,0.6377708978328174,0.900523560209424,0.8387096774193549,C2
10515,1,R1 latency regression,0.35036496350364965,0.7916666666666666,0.7916666666666666,C2
10765,1,R1 latency regression,0.23770491803278687,0.8852459016393442,0.7142857142857143,C2
11015,1,R1 latency regression,0.0,0.0,0.0,C2
11265,1,R1 latency regression,0.1940928270042194,0.8444444444444444,0.6829268292682927,C2
11515,1,R1 latency regression,0.19834710743801653,0.9361702127659575,0.8837209302325582,C2
11765,1,R1 latency regression,0.2962962962962963,0.7692307692307693,0.78125,C2
12015,1,R1 latency regression,0.5414012738853503,0.9382716049382716,0.8152866242038217,C2
12265,1,R1 latency regression,0.3409090909090909,0.9213483146067416,0.8085106382978723,C2
12515,1,R1 latency regression,0.37209302325581395,0.9230769230769231,0.8,C2
12765,1,R1 latency regression,0.11059907834101383,0.7857142857142857,0.6666666666666666,C2
13015,1,R1 latency regression,0.367816091954023,0.8695652173913043,0.7912087912087912,C2
13265,1,R1 latency regression,0.21052631578947367,0.9361702127659575,0.7317073170731707,C2
13515,1,R1 latency regression,0.2916666666666667,0.9253731343283582,0.8235294117647058,C2
13765,1,R1 latency regression,0.30708661417322836,0.9090909090909091,0.8051948051948052,C2
14015,1,R1 latency regression,0.35019455252918286,0.9534883720930233,0.8539325842696629,C2
14265,1,R1 latency regression,0.05581395348837209,0.46153846153846156,0.36363636363636365,C2
14515,1,R1 latency regression,0.37453183520599254,0.8817204301075269,0.8,C2
14765,1,R1 latency regression,0.6,0.9090909090909091,0.8275862068965517,C2
15015,1,R1 latency regression,0.5,0.9078014184397163,0.8551724137931035,C2
15265,1,R1 latency regression,0.2413793103448276,0.8620689655172413,0.8363636363636363,C2
15515,1,R1 latency regression,0.20869565217391303,0.7755102040816326,0.7619047619047619,C2
15765,1,R1 latency regression,0.10909090909090909,0.7857142857142857,0.8181818181818182,C2
16015,1,R1 latency regression,0.14479638009049775,0.896551724137931,0.72,C2
16265,1,R1 latency regression,0.30278884462151395,0.8611111111111112,0.8,C2
16515,1,R1 latency regression,0.04854368932038835,0.6666666666666666,0.8333333333333334,C2
16765,1,R1 latency regression,0.19913419913419914,0.875,0.9090909090909091,C2
17015,1,R1 latency regression,0.46153846153846156,0.9105691056910569,0.7747747747747747,C2
17265,1,R1 latency regression,0.24864864864864866,0.5352112676056338,0.7272727272727273,C2
17515,2,R2 scale-out,0.6889952153110048,0.6666666666666666,0.9139072847682119,C2
17765,2,R2 scale-out,0.4533333333333333,0.918918918918919,0.8947368421052632,C2
18015,2,R2 scale-out,0.5176470588235295,0.8148148148148148,0.7777777777777778,C2
18265,2,R2 scale-out,0.7155963302752294,0.8,0.8333333333333334,C2
18515,2,R2 scale-out,0.6372549019607843,0.8,0.848,C2
18765,2,R2 scale-out,0.16216216216216217,0.8421052631578947,0.6956521739130435,C2
19015,2,R2 scale-out,0.34328358208955223,0.7692307692307693,0.7317073170731707,C2
19265,2,R2 scale-out,0.5542168674698795,0.8095238095238095,0.8372093023255814,C2
19515,2,R2 scale-out,0.6818181818181818,0.8827586206896552,0.8947368421052632,C2
19765,2,R2 scale-out,0.48717948717948717,0.8421052631578947,0.7567567567567568,C2
20015,2,R2 scale-out,0.0,0.0,0.0,C2
20265,2,R2 scale-out,0.6666666666666666,0.9230769230769231,0.8596491228070176,C2
20515,2,R2 scale-out,0.6355140186915887,0.9645390070921985,0.8905109489051095,C2
20765,2,R2 scale-out,0.4666666666666667,0.8923076923076924,0.7619047619047619,C2
21015,2,R2 scale-out,0.0,0.0,0.0,C2
21265,2,R2 scale-out,0.4666666666666667,0.927536231884058,0.8307692307692308,C2
21515,2,R2 scale-out,0.0,0.0,0.0,C2
21765,2,R2 scale-out,0.6428571428571429,0.9105691056910569,0.8739495798319328,C2
22015,2,R2 scale-out,0.3064516129032258,0.8888888888888888,0.9,C2
22265,2,R2 scale-out,0.625,0.918918918918919,0.9026548672566371,C2
22515,2,R2 scale-out,0.16666666666666666,0.8888888888888888,0.9333333333333333,C2
22765,2,R2 scale-out,0.5068493150684932,0.8732394366197183,0.7466666666666667,C2
23015,2,R2 scale-out,0.7466666666666667,0.9570552147239264,0.9341317365269461,C2
23265,2,R2 scale-out,0.30303030303030304,0.926829268292683,0.8648648648648649,C2
23515,2,R2 scale-out,0.4533333333333333,0.9066666666666666,0.875,C2
23765,2,R2 scale-out,0.6473429951690821,0.8225806451612904,0.803030303030303,C2
24015,2,R2 scale-out,0.0,0.0,0.0,C2
24265,2,R2 scale-out,0.0,0.0,0.0,C2
24515,2,R2 scale-out,0.7032967032967034,0.864406779661017,0.7966101694915254,C2
24765,2,R2 scale-out,0.4411764705882353,0.9152542372881356,0.7936507936507936,C2
25015,2,R2 scale-out,0.0,0.0,0.0,C2
25265,2,R2 scale-out,0.6818181818181818,0.9006622516556292,0.8714285714285714,C2
25515,2,R2 scale-out,0.45390070921985815,0.9032258064516129,0.8787878787878788,C2
